id,period,gender,age_group,brand,ratio,timestamp
4495,2024-01-03,male,30대,링티,41.47,2025-03-24 12:29:23.227681
4494,2024-01-03,male,30대,토레타,9.5,2025-03-24 12:29:23.227681
4492,2024-01-03,male,30대,게토레이,7.78,2025-03-24 12:29:23.227681
4493,2024-01-03,male,30대,파워에이드,12.31,2025-03-24 12:29:23.227681
4491,2024-01-03,male,30대,포카리스웨트,28.94,2025-03-24 12:29:23.227681
6735,2024-01-03,male,40대,링티,30.58,2025-03-24 12:29:23.227681
6734,2024-01-03,male,40대,토레타,6.34,2025-03-24 12:29:23.227681
6732,2024-01-03,male,40대,게토레이,8.26,2025-03-24 12:29:23.227681
6733,2024-01-03,male,40대,파워에이드,13.22,2025-03-24 12:29:23.227681
6731,2024-01-03,male,40대,포카리스웨트,41.6,2025-03-24 12:29:23.227681
8975,2024-01-03,male,50대,링티,27.46,2025-03-24 12:29:23.227681
8974,2024-01-03,male,50대,토레타,5.63,2025-03-24 12:29:23.227681
8972,2024-01-03,male,50대,게토레이,11.97,2025-03-24 12:29:23.227681
8973,2024-01-03,male,50대,파워에이드,9.15,2025-03-24 12:29:23.227681
8971,2024-01-03,male,50대,포카리스웨트,45.77,2025-03-24 12:29:23.227681
11215,2024-01-03,male,60대 이상,링티,34.88,2025-03-24 12:29:23.227681
11214,2024-01-03,male,60대 이상,토레타,2.33,2025-03-24 12:29:23.227681
11212,2024-01-03,male,60대 이상,게토레이,13.95,2025-03-24 12:29:23.227681
11213,2024-01-03,male,60대 이상,파워에이드,6.98,2025-03-24 12:29:23.227681
11211,2024-01-03,male,60대 이상,포카리스웨트,41.86,2025-03-24 12:29:23.227681
13460,2024-01-04,female,10대,링티,15.85,2025-03-24 12:29:23.227681
13459,2024-01-04,female,10대,토레타,10.98,2025-03-24 12:29:23.227681
13457,2024-01-04,female,10대,게토레이,15.85,2025-03-24 12:29:23.227681
13458,2024-01-04,female,10대,파워에이드,15.85,2025-03-24 12:29:23.227681
13456,2024-01-04,female,10대,포카리스웨트,41.46,2025-03-24 12:29:23.227681
15700,2024-01-04,female,20대,링티,42.96,2025-03-24 12:29:23.227681
15699,2024-01-04,female,20대,토레타,7.79,2025-03-24 12:29:23.227681
15697,2024-01-04,female,20대,게토레이,3.77,2025-03-24 12:29:23.227681
15698,2024-01-04,female,20대,파워에이드,7.79,2025-03-24 12:29:23.227681
15696,2024-01-04,female,20대,포카리스웨트,37.69,2025-03-24 12:29:23.227681
17940,2024-01-04,female,30대,링티,46.26,2025-03-24 12:29:23.227681
17939,2024-01-04,female,30대,토레타,12.28,2025-03-24 12:29:23.227681
17937,2024-01-04,female,30대,게토레이,8.19,2025-03-24 12:29:23.227681
17938,2024-01-04,female,30대,파워에이드,9.61,2025-03-24 12:29:23.227681
17936,2024-01-04,female,30대,포카리스웨트,23.67,2025-03-24 12:29:23.227681
20180,2024-01-04,female,40대,링티,45.15,2025-03-24 12:29:23.227681
20179,2024-01-04,female,40대,토레타,9.69,2025-03-24 12:29:23.227681
20177,2024-01-04,female,40대,게토레이,6.83,2025-03-24 12:29:23.227681
20178,2024-01-04,female,40대,파워에이드,7.93,2025-03-24 12:29:23.227681
